domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
salzburg.orf.at,0.05181190476190476,0.1764323030658924,0.09992857142857142,0.13188935270110516,50.0
tirol.orf.at,0.059899068322981364,0.22016749328440358,0.04358178053830228,0.08239589057029241,46.0
www.wiwo.de,-0.01581262939958593,0.2369875480891869,0.075,0.09347407324148631,46.0
www.jungewelt.de,-0.03720699520118125,0.18280051598959507,0.029909560723514216,0.07903797023127433,43.0
burgenland.orf.at,0.07404195011337869,0.2352812837298749,0.0859599395313681,0.13208621032882734,42.0
www.urlaubspiraten.de,0.2812627551020408,0.24132925714907758,0.0251984126984127,0.055688840310141124,42.0
www.spektrum.de,0.016556776556776554,0.21482465015528115,0.08271265771265772,0.10606276633637085,39.0
wien.orf.at,0.06302552552552552,0.188440178834518,0.09312955812955813,0.16944875189224565,37.0
www.autobild.de,0.15114642114642113,0.2204062614468461,0.048829323829323826,0.1265133691144872,37.0
www.freitag.de,0.1133824354657688,0.2425631836535277,0.053279320987654324,0.08944404563266223,36.0
www.gamestar.de,0.19864285714285712,0.2085369237315631,0.06482993197278912,0.11659209260430876,35.0
t3n.de,0.06097970248705543,0.2141191058685558,0.11145170189287835,0.12508882400177654,34.0
science.orf.at,0.06376851851851853,0.23348943058302074,0.11851851851851851,0.17770193145792434,30.0
sport.orf.at,0.11974137931034481,0.18444241146557347,0.04827586206896552,0.09421193892620121,29.0
www.kino.de,0.09931159420289855,0.29247319787567855,0.019461697722567287,0.05218209090453705,23.0
hallespektrum.de,-0.0710231193926846,0.37230513402684345,0.0,0.0,23.0
www.computerbase.de,0.09167044595616024,0.2548202310800075,0.10693499622071051,0.17279044669994778,21.0
www.basicthinking.de,0.0567768959435626,0.26362817079223944,0.026234567901234566,0.0799828766068754,18.0
www.der-postillon.com,-0.005271765271765275,0.3154555798568497,0.10325276575276575,0.13310113997299075,18.0
oe3.orf.at,0.07416666666666666,0.1446025090408705,0.09259259259259259,0.1915043833200472,18.0
www.pcgames.de,0.17484943977591036,0.19025882328208768,0.12661064425770308,0.17969337091191356,17.0
www.businessinsider.de,0.0846498599439776,0.17988056076127082,0.09915966386554621,0.1102490904487557,17.0
www.wissenschaft.de,0.20557142857142857,0.2814128994105432,0.05317460317460318,0.130942073393551,15.0
www.dwdl.de,0.21583333333333332,0.2461244473630029,0.037704081632653055,0.063081628716987,14.0
www.ndr.de,-0.03464285714285715,0.25961524668743224,0.06020408163265306,0.1413301435080478,14.0
